"team_hyphen","team_full_name","team_code","team_abbreviation","team_name","team_id"
"arizona-diamondbacks","Arizona Diamondbacks","ari","AZ","D-backs",109
"atlanta-braves","Atlanta Braves","atl","ATL","Braves",144
"baltimore-orioles","Baltimore Orioles","bal","BAL","Orioles",110
"boston-red-sox","Boston Red Sox","bos","BOS","Red Sox",111
"chicago-cubs","Chicago Cubs","chn","CHC","Cubs",112
"chicago-white-sox","Chicago White Sox","cha","CWS","White Sox",145
"cincinnati-reds","Cincinnati Reds","cin","CIN","Reds",113
"cleveland-guardians","Cleveland Guardians","cle","CLE","Guardians",114
"colorado-rockies","Colorado Rockies","col","COL","Rockies",115
"detroit-tigers","Detroit Tigers","det","DET","Tigers",116
"houston-astros","Houston Astros","hou","HOU","Astros",117
"kansas-city-royals","Kansas City Royals","kca","KC","Royals",118
"los-angeles-angels","Los Angeles Angels","ana","LAA","Angels",108
"los-angeles-dodgers","Los Angeles Dodgers","lan","LAD","Dodgers",119
"miami-marlins","Miami Marlins","mia","MIA","Marlins",146
"milwaukee-brewers","Milwaukee Brewers","mil","MIL","Brewers",158
"minnesota-twins","Minnesota Twins","min","MIN","Twins",142
"new-york-mets","New York Mets","nyn","NYM","Mets",121
"new-york-yankees","New York Yankees","nya","NYY","Yankees",147
"oakland-athletics","Oakland Athletics","oak","OAK","Athletics",133
"philadelphia-phillies","Philadelphia Phillies","phi","PHI","Phillies",143
"pittsburgh-pirates","Pittsburgh Pirates","pit","PIT","Pirates",134
"san-diego-padres","San Diego Padres","sdn","SD","Padres",135
"san-francisco-giants","San Francisco Giants","sfn","SF","Giants",137
"seattle-mariners","Seattle Mariners","sea","SEA","Mariners",136
"st-louis-cardinals","St. Louis Cardinals","sln","STL","Cardinals",138
"tampa-bay-rays","Tampa Bay Rays","tba","TB","Rays",139
"texas-rangers","Texas Rangers","tex","TEX","Rangers",140
"toronto-blue-jays","Toronto Blue Jays","tor","TOR","Blue Jays",141
"washington-nationals","Washington Nationals","was","WSH","Nationals",120
